leiden,Reference,Braak 0,Braak II,Braak III,Braak VI
0,0.00016103059581320451,0.0005904455179817498,0.10950080515297907,0.08942565754159958,0.8003220611916264
1,0.0002144082332761578,0.0008576329331046312,0.29952830188679247,0.48027444253859347,0.21912521440823327
2,0.0005421033610408384,0.9850018070112034,0.0021684134441633538,0.0014456089627755693,0.01084206722081677
3,0.0,0.11099020674646355,0.22306855277475518,0.6652883569096845,0.0006528835690968443
4,0.0,0.0,0.9985228951255539,0.0012309207287050715,0.0002461841457410143
5,0.9959380553439959,0.0005077430820005078,0.0005077430820005078,0.0027925869510027927,0.0002538715410002539
6,0.0,0.00037650602409638556,0.0,0.0030120481927710845,0.9966114457831325
7,0.0,0.0005521811154058532,0.0022087244616234127,0.992821645499724,0.004417448923246825
8,0.0,0.9992389649923896,0.0,0.00076103500761035,0.0
9,0.0,0.0,0.0,0.35902255639097747,0.6409774436090225
